star_point,comment,photo
5,"로x텍 G4x3 망할 더블클릭과 씹힘에 고통받다가 이벤트하길래 질렀습니다.

체리 갈축.. 청축에 비해서야 살짝 심심하긴 하지만 타건감은 괜찮네요.

소음은 저소음축이 아닌 만큼 사무실 등에서 자연스레 쓸 정도는 아니고, 집에서 방문 닫으면 밖을 신경쓰지는 않아도 될 정도라고 봅니다.
통울림은.. 여느 키보드가 그렇듯 스페이스바 통울림은 좀 거슬리네요. 스페이스바 빼고는 민감하지 않으면 신경쓸 정도는 아닌 것 같습니다.

처음에 무난하게 블랙색상 가려다 미드나잇그린 선택했는데, 예상했던 국방색보다는 살짝 진하면서 밝은데, 그 느낌이 독특하니 괜찮네요.
근데 역시나 키보드 기판RGB가 없으니 살짝 밋밋하긴 해요. 사이드LED는 불 끄고 사용할게 아니라면 위에서는 잘 보이지도 않고...
.

가격 대비해서는 무난한 키보드라고 생각합니다.","['https://phinf.pstatic.net/checkout/20200922_69/1600748958310VGdN1_JPEG/review-attachment-d0db3cd1-5c3c-4182-b46c-7fdf579c76d6.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200922_17/1600748959439XOKoC_JPEG/review-attachment-b8b18556-f59d-4299-93a4-daf1a31b7780.jpeg?type=f287']"
5,"사무실에서 기계식 키보드 쓰기로 결심했는데 직장이 보수적인 분위기라 무난한 디자인일 것, 소음이 적을 것, 이 두가지를 최우선으로 저소음적축에 블랙으로 구매했습니다.(미드나잇그린이 더 끌렸지만 ㅠㅠ) 사이드LED도 꺼버리면 그만이라 자연스럽게 사무실 분위기에 녹아드네요.
집에서는 갈축을 썼는데 타건 시 서걱거리는 갈축에 비해 훨씬 쫀득하다(?)는 느낌이 듭니다. 새로운 느낌이지만 괜찮네요.
사무실에서 써도 통울림, 스프링소리 거의 들리지 않아 기존 멤브레인보다 조용한 수준이구요. (엔터, 스페이스바 등은 제외)",['https://phinf.pstatic.net/checkout/20200630_145/1593504525149xTBT5_JPEG/KakaoTalk_20200630_170409837.jpg?type=f287']
5,무엇보다 저소음이라 타이핑 소리가 엄청 작다는 게 장점이고 LED가 양면에서 나와 예민하신 분들은 평소에 못 느끼실 수도 있으나 밤이 되거나 불 끄시면 아름다워집니다. 미드나잇그린 색상이 은은하여 키보드의 멋을 더 합니다.,['https://phinf.pstatic.net/checkout/20201018_275/16029916843100tYGh_JPEG/review-attachment-6bcd9dcd-1114-4dea-bb14-23fdf6f2eb30.jpeg?type=f287']
1,교환 받은것도 같은 증상인거 보니 키보드 자체 문제인것으로 생각하겠습니다. 리듬게임 유저분들은 절때 구매하지마세요. 짧은시간 연타시 키씹힘이 엄청나게 심합니다. 연타가 유리한 저적에서 키씹힘이 자주 일어나니 살 이유가 없음.,[]
5,"스마일데이 이용해서 가격 저렴하게 구입해서 넘넘 좋고디자인, 성능도 너무 맘에 들어요.저소음적축 키보드 사무실에서 한번 써보고 싶었는데, 느낌이 새롭고 괜찮네요.(기존에는 갈축 쓰고 있었거든요.)아무튼 국산 제품이지만 너무 맘에 들어서 사진과 함께 후기 남깁니다.감사합니다.",[]
4,"좋네요. 항상 중간 품질은 하는 키보드같아요. 특색은 없는데 기본기는 탄탄한 가성비 좋은 키보드에요.

다만 색이... 그냥 검은색 살껄 모니터에 보이는 색이랑 실제 색이랑 많이 다르네요. 디자인이 좀 아쉬운 것 빼면 참 키감이나 다른 요소들은 참 마음에 드는 제품입니다.",[]
5,저소음 적축 제가 타건해본것들 중에서 키감은 상위급이구여무엇보다도 소음이 하나도없습니다 ㅠ.ㅠ 신제품이다보니 이제 실사용 기간 늘어나고 내구성만 보증되면베스트 제품이 되지않을까 싶네요.고민하시는분들은 추천합니다~,[]
5,"일단 빠른 배송 감사합니다.
재질 색상 고급지네요.
미드나잇그린 생각보다 이쁩니다.
블랙에 질리신 분들 미드나잇그린도 괘안습니다.
키 누르는 타건감 좋구요 소리도 거슬리지 않네요.
청축 적축 결정장애 오는 분은 갈축 적극 추천합니다.
텐키리스는 아니지만 윈도우키 잠금 기능이 있어서 키캡 게임용으로도 무난 합니다.",[]
4,제꺼 친구꺼 두개 구매했습니다! 일단 디자인 최고 ㅎ 생각보다 더 조용해요! 조용한 만큼 쫀득함은 부족하지만 이정도면 매우 만족합니다!,"['https://phinf.pstatic.net/checkout/20200927_132/1601213758835aIFzx_JPEG/review-attachment-9209239e-63d5-47d5-8247-4c0f550ea970.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200927_119/1601213763890vXGVJ_JPEG/review-attachment-b0fecc17-5315-489b-97ff-2bab48f553b3.jpeg?type=f287']"
4,"적당하네요
선물용으로 보냈고
조용하고 키감이 좋다고 하네요
이 가격에 가성비 좋아요
받으시는 분이 아주 만족하시네요
계속 좋은 물건으로 성업하세요 ㅎㅎ","['https://phinf.pstatic.net/checkout/20200917_148/1600312109231ujbdR_JPEG/review-attachment-58813dac-2b98-46ed-bcd7-89e00f0774ef.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200917_119/16003121091953lBWO_JPEG/review-attachment-e8b1966c-3848-41c5-924a-68fcf5ee2bd6.jpeg?type=f287']"
4,"키감도 확실히 떨어지고 소음도 생각보다 적다는 생각은 들지 않지만 그래도 기존에 쓰던것보다는 조용한 것 같습니다.

다만 LED가 없어 야간에는 잘 안보인다는 점은 참고하셔야 할 것 같아요","['https://phinf.pstatic.net/checkout/20200917_146/1600339700815P6wyv_JPEG/review-attachment-13c0ed47-1ddf-44a0-a08b-4cf5e72bbb46.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200917_116/1600339700840597BQ_JPEG/review-attachment-e6031528-689f-4a13-ad33-3c71f29bc5cd.jpeg?type=f287']"
5,"까끌까끌한 촉감이 좋은 키캡에 저소음 적축 특유의 정갈함이 정말 좋네요.
특히 여러 사람 근무하는 조용한 사무실에서 쓸 경우 정말 좋네요. 2개 사세요.","['https://phinf.pstatic.net/checkout/20200917_192/1600342646786ooNOe_JPEG/review-attachment-b63cc9df-f5c6-42a1-997c-27e334b821fa.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200917_166/1600342646798vpHt5_JPEG/review-attachment-5137c0c5-0f6d-4c44-b186-9aa099695ce7.jpeg?type=f287']"
5,소리도 조용하고 배송도 빠르고 정말좋습니다.,['https://phinf.pstatic.net/checkout/20201114_126/1605364858654HYEil_JPEG/review-attachment-759866fa-8c6c-491a-bb5f-77ca8f4fdc3b.jpeg?type=f287']
5,그럭저럭 쓸만합니다.,['https://phinf.pstatic.net/checkout/20201121_231/1605916394163hXe9H_JPEG/review-attachment-2ab38e41-c0ec-4e56-8111-b1c807db5857.jpeg?type=f287']
5,"일단 포장상태 양호 하구요, 배송이 엄청 빠릅니다. 가장 추천드리는 부분은 적축 무소음 키감인데요, 소리 거의 안나면서도 타격감이 전해지는게 맘에 드네요. 감사합니다~ 잘쓸게요.",['https://phinf.pstatic.net/checkout/20201111_39/1605080700294sKnYM_JPEG/review-attachment-85fedc65-c0d7-4964-9ff6-f2e7d26a5246.jpeg?type=f287']
5,잘 쓰고 있습니다.,['https://phinf.pstatic.net/checkout/20201114_194/16053460640238ii0J_JPEG/review-attachment-f8f2f257-68f6-4321-b54a-b6380ca1051b.jpeg?type=f287']
5,"내가 직접쓰는게 아니라 사용감은 잘 모르겠지만, 쓸만한거 같다고 하네요",['https://phinf.pstatic.net/checkout/20201029_172/16039824610490RRDj_JPEG/review-attachment-f0359ab7-2310-497f-80fd-63a6da623e48.jpeg?type=f287']
5,그동안 쓰던 3만원대 오테뮤 축이랑은 클라스가 다르네요. 역시 체리-!! 강추합니다 가성비 최고,['https://phinf.pstatic.net/checkout/20200924_35/1600902704839A0wD2_JPEG/review-attachment-298b77a2-fc06-458f-8c7b-8321d2c447ee.jpeg?type=f287']
