star_point,comment,photo
5,"막내 동생이 키보드 고장내서, 하나 사줬습니다. 그러고 막둥이가 쓰고 있던걸 저도 한번 써봤습니다. 색깔, 기능 등 다 무난무난하고(가격 대비해서 - 속칭 가성비가 좋다고 표현하죠), 박스에 키보드 관리를 위한 부속품들까지 들어있던게 맘에 들더라구요.

그래서 제것도 하나 사서 쓰고 있네요. 착한 가격이지만 갖출건 다 갖춘 키보드라고 생각해요.","['https://phinf.pstatic.net/checkout/20200820_33/1597933163657o8ozX_JPEG/review-attachment-47eb5513-8f53-49a2-ba13-e3a302032ee8.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200820_29/1597933166556WWJik_JPEG/review-attachment-f9c235bb-3b10-4fe9-8060-f3e5f3e46919.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200820_204/1597933168330yidSd_JPEG/review-attachment-0ed9e796-ff6b-47f3-a33b-efd02b73941d.jpeg?type=f287']"
5,"책상을 원목 무늬로 바꾸면서... 저도 모르게 키보드르 나무 색상으로 구입했네요 ㅎㅎㅎ;;;;;
키보드가 울림이 가끔 있어서 응?! 이럴때 빼고는 괜찮은거 같아요 ㅎ
장패드도 Cox !!! 와전방수 !! 친환경 ~!~! 세투세투
한달 사용해보고 또 후기 올릴게요 ~","['https://phinf.pstatic.net/checkout/20200911_135/1599805925760YA5cM_JPEG/review-attachment-b04ffc70-39b1-46b2-b713-770608f7de84.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200911_147/15998059367618Lbgb_JPEG/review-attachment-3c9b1a9f-31fe-4e5e-959b-155661ae7c5d.jpeg?type=f287']"
1,"흠; 봉인씰이 이건좀;; 미개봉이 아니라 미(리)개봉 상품인가요??
1번째 사진보면 뜯기도 전에 씰 바로위에 뜯은 자국나있고 이건 진짜 좀;; 당황스럽네요; 2번째 사진은 스티터가 붙어서 박스가 저렇게 뜯겨 나간게 아니고 그냥 애초에 저렇게 되어있는데 원래 박스가 이런건가요? 3번째 사진 포장 상태보면 아무리 특가 갈기는 키보드라고 한들 이렇게 엉성히 포장이 되나요??","['https://phinf.pstatic.net/checkout/20200313_69/1584074954819pIxW6_JPEG/KakaoTalk_20200313_134644808_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200313_130/1584074958913RdOSK_JPEG/KakaoTalk_20200313_134644808_02.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200313_59/15840749635400HTzA_JPEG/KakaoTalk_20200313_134644808_01.jpg?type=f287']"
5,레오폴드 15만원짜리 3년정도 쓰니 두번타이핑이 되는 기계식의 고장이 생겨서 알아보던중에 발견해서 샀는데 일단 디자인이 맘에 듭니다. 나무결느낌이 그대로 나고 고급스럽고 아주 좋네요. 키감은 첨엔 좀 어색하더니 좀쓰니 아주 맘에 드네요. 이정도면 대만족이네요. 고장안나고 오래썼으면 좋겠습니다. 화이트키보드쪽에 후기들이 별로라 걱정했는데 그럴필요가 없네요 ㅎ 주변에 추천했더니 화이트로 주문했다네요,['https://phinf.pstatic.net/checkout/20200724_106/15955683641748xrJS_JPEG/review-attachment-517a2595-34b4-439c-971c-b8533f094796.jpeg?type=f287']
5,"그동안 기본형 키보드만 계속 쓰고 있었는데 기본형 말고 키보드도 돈 주고 사보자 하는 마음에고민고민하다가 비싸지 않으면서 기본형과는 다른 키보드를 구매했습니다.기존에 쓰던 키보드와 키의 갯수가 달라 약간 적응이 필요하기 하지만,컴퓨터할 때마다 키보드를 바꿨다는 게 자꾸 인식이 되고 기분이 좋네요.키알못이라 키보드 소리(타건음이라고 하나요?)가 좀 클 거라는 걸 예상 못했는데'나쁘지는 않네요!!어쨋든 전체적으로 대만족입니다!!",[]
4,모니터랑 본체 색과 맞추느라 베이지 클릭 구매했는데 뭔가... 이쑤시개 느낌이 조금...ㅋㅋㅋ 어두운 색깔이 확실히 더 예쁘긴 한 것 같아요. 소리가 많이 요란하기는 한데 타건감은 나쁘지 않았고 LED 모드 여러가지라서 설정하는 재미가 있습니다. 다만 제 컴퓨터(윈도우 10)에서 한/영 전환이 안 돼서 방법을 찾느라 꽤 고생했네요. 키보드 설정을 103/106키가 아닌 101키 쪽으로 세팅하고 나니 해결 됐습니다.,[]
5,"통울림이 심하긴 한데 주변소음이 있으면, 신경 안 쓰면 잘 모를 거 같아요
심플한데 Fn+@와 관련된 각인이 없어서 설명서 버리면 안 될 거 같아요
제품에 별다른 이상은 없었는데 상자에 밀봉씰을 한 번 떼고 다시 붙인 자국이 있어서 실망했어요","['https://phinf.pstatic.net/checkout/20200408_73/1586325051596gNDx1_JPEG/20200407_134602_HDR.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200408_212/1586325059010pI8nk_JPEG/20200407_133919.jpg?type=f287']"
4,"좋았습니다. 봉인씰이랑 제품도 깔끔하고 문제는 없어요. 지금 타이핑하는게 이 키보드인데, 소리가 상당히 큽니다....ㄷㄷㄷ
클릭감은 상당한거 같네요. 통울림 약간있고 키감 상당히 괜찮아요. 근데 인식하는게 너무 민감하다고 할까요. 살짝눌러도 바로 인식되요...그래도 디자인 이쁘고 깔끔합니다. 굿굿",[]
5,"전에 쓰던 갈축 제품이 채터링 증상도 있고 사용 중인 책상이 원목이라 디자인이 잘 어울릴 것 같아 이 제품을 선택하게 되었는데요
제품은 확실히 사진으로만 보는 것보다 실물이 더 예쁜 것 같습니다
제품 사용 중에 있어서는 아무래도 제 손과 귀는 갈축에 익숙해져 있었는지 지금의 클릭 스위치 제품은 아직 조금 낯설어서 계속 쓰면서 적응해봐야 할 것 같아요",[]
5,"사무실에서 사용중인 멤브레인 키보드가 고장나서 기계식 키보드를 구매하였습니다. 집에서 사용하는 앱코 제품이 좀 저렴해서 통울림 소리가 거슬렸는데. 해당 제품은 통울림은 없는거 같네요. 맘에 듭니다.
사무실에서 쓰기도 깔끔하구요. 잘쓰겠습니다.",[]
